abacalero	abacalera
abacero	abacera
abad	abadesa
abadengo	abadenga
abajeño	abajeña
abalaustrado	abalaustrada
abalconado	abalconada
abandadonado	abandadonada
abanderado	abanderada
abaniquero	abaniquera
abanquino	abanquina
abanto	abanta
abarcador	abarcadora
abaritonado	abaritonada
abarquero	abarquera
abarquillado	abarquillada
abarrajado	abarrajada
abarrancado	abarrancada
abarrocado	abarrocada
abarrotero	abarrotera
abastecedor	abastecedora
abatanado	abatanada
abatido	abatida
abayado	abayada
abderitano	abderitana
abdicativo	abdicativa
abductor	abductora
abejero	abejera
abellacado	abellacada
abellotado	abellotada
aberenjenado	aberenjenada
abestiado	abestiada
abetunado	abetunada
abevedado	abevedada
abierto	abierta
abietino	abietina
abietáceo	abietácea
abietíneo	abietínea
abigotado	abigotada
abipón	abipóna
abisinio	abisinia
abismado	abismada
abismático	abismática
abizcochado	abizcochada
abiótico	abiótica
ablandador	ablandadora
ablandativo	ablandativa
ablativo	ablativa
ablatorio	ablatoria
ablusado	ablusada
abnegado	abnegada
abobado	abobada
abocado	abocada
abocardado	abocardada
abocelado	abocelada
abocetado	abocetada
abochornado	abochornada
abocinado	abocinada
abofado	abofada
abofeteador	abofeteadora
abogadesco	abogadesca
abogado	abogada
abogador	abogadora
abohetado	abohetada
abolengo	abolenga
abollado	abollada
abolsado	abolsada
abombado	abombada
abonado	abonada
abondado	abondada
abondoso	abondosa
abonero	abonera
aboquillado	aboquillada
abordador	abordadora
aborrachado	aborrachada
aborrecedor	aborrecedora
aborregado	aborregada
abortero	abortera
abotinado	abotinada
abrasador	abrasadora
abrasilado	abrasilada
abrasivo	abrasiva
abrazador	abrazadora
abrevador	abrevadora
abreviador	abreviadora
abribonado	abribonada
abridero	abridera
abridor	abridora
abrigado	abrigada
abrigador	abrigadora
abrigoso	abrigosa
abrileño	abrileña
abrillantador	abrillantadora
abromado	abromada
abroquelado	abroquelada
abrumador	abrumadora
abrupto	abrupta
abrutado	abrutada
abscóndito	abscóndita
absoluto	absoluta
absolutorio	absolutoria
absolvedor	absolvedora
absorbedero	absorbedera
absorto	absorta
abstemio	abstemia
abstersivo	abstersiva
abstractivo	abstractiva
abstracto	abstracta
abstraído	abstraída
abstruso	abstrusa
absuelto	absuelta
absurdo	absurda
abuelastro	abuelastra
abuelo	abuela
abuhardillado	abuhardillada
abultado	abultada
abundado	abundada
abundoso	abundosa
aburelado	aburelada
aburidor	aburidora
aburrado	aburrada
aburrido	aburrida
abusado	abusada
abusador	abusadora
abusionero	abusionera
abusivo	abusiva
abusón	abusóna
abuñolado	abuñolada
abuñuelado	abuñuelada
abúlico	abúlica
acabado	acabada
acabador	acabadora
acaballado	acaballada
acaballerado	acaballerada
acabangado	acabangada
acabellado	acabellada
acabronado	acabronada
acaciano	acaciana
acadio	acadia
académico	académica
acaecedero	acaecedera
acalefo	acalefa
acallador	acalladora
acalorado	acalorada
acalumniador	acalumniadora
acalórico	acalórica
acamado	acamada
acamellado	acamellada
acamuzado	acamuzada
acanalado	acanalada
acanallado	acanallada
acandilado	acandilada
acanelado	acanelada
acanilado	acanilada
acantilado	acantilada
acantinflado	acantinflada
acanto	acacanto
acantocéfalo	acantocéfala
acantopterigio	acantopterigia
acantáceo	acantácea
acaparador	acaparadora
acaparrosado	acaparrosada
acaponado	acaponada
acapulqueño	acapulqueña
acaracolado	acaracolada
acarambanado	acarambanada
acaramelado	acaramelada
acariciador	acariciadora
acarminado	acarminada
acarnerado	acarnerada
acarrascado	acarrascada
acarreadizo	acarreadiza
acarreado	acarreada
acarreador	acarreadora
acasamatado	acasamatada
acastañado	acastañada
acastillado	acastillada
acastorado	acastorada
acateco	acateca
acatólico	acatólica
acaudalado	acaudalada
acaudalador	acaudaladora
acaudillador	acaudilladora
acañutado	acañutada
accesorio	accesoria
accidentado	accidentada
accidentario	accidentaria
accionario	accionaria
accitano	accitana
acebollado	acebollada
acebrado	acebrada
acebucheno	acebuchena
acechador	acechadora
acechón	acechóna
acedo	aceda
aceitero	aceitera
aceitoso	aceitosa
aceitunado	aceitunada
aceitunero	aceitunera
aceituno	aceituna
acelajado	acelajada
acelerado	acelerada
acelerador	aceleradora
acemilado	acemilada
acendrado	acendrada
aceptador	aceptadora
acepto	acepta
aceptor	aceptora
acerbo	acerba
acercador	acercadora
acerino	acerina
acertado	acertada
acertador	acertadora
acertajón	acertajóna
aceráceo	acerácea
aceríneo	acerínea
aceto	aceta
acezoso	acezosa
aceñero	aceñera
achacacheño	achacacheña
achacoso	achacosa
achajuanado	achajuanada
achambergado	achambergada
achampanado	achampanada
achampañado	achampañada
achantado	achantada
achaparrado	achaparrada
achaquiento	achaquienta
acharolado	acharolada
achatado	achatada
achicado	achicada
achicador	achicadora
achichado	achichada
achinado	achinada
achinelado	achinelada
achinero	achinera
achiotado	achiotada
achiotero	achiotera
achiquillado	achiquillada
acho	acha
achocolatado	achocolatada
acholado	acholada
achuelado	achuelada
achuelo	achuela
achulapado	achulapada
achumpipado	achumpipada
achusemado	achusemada
achín	achína
aciago	aciaga
acibarado	acibarada
acicalado	acicalada
acicalador	acicaladora
acidalio	acidalia
acidioso	acidiosa
acidulado	acidulada
acientífico	acientífica
aciguatado	aciguatada
acintado	acintada
aclamador	aclamadora
aclamídeo	aclamídea
aclarado	aclarada
aclarador	aclaradora
aclaratorio	aclaratoria
aclavelado	aclavelada
acleido	acleida
aclorhídrico	aclorhídrica
acmpanado	acmpanada
acmulatuvo	acmulatuva
aco	aca
acobambino	acobambina
acobardado	acobardada
acobrado	acobrada
acoceador	acoceadora
acochinado	acochinada
acodado	acodada
acodillado	acodillada
acogedizo	acogediza
acogedor	acogedora
acogido	acogida
acogollado	acogollada
acogullado	acogullada
acollarado	acollarada
acomayino	acomayina
acomedido	acomedida
acometedor	acometedora
acomodadizo	acomodadiza
acomodado	acomodada
acomodador	acomodadora
acomodaticio	acomodaticia
acompasado	acompasada
acompañado	acompañada
acompañador	acompañadora
acomplejado	acomplejada
acomplexionado	acomplexionada
aconcagüino	aconcagüina
acondicionado	acondicionada
acondicionador	acondicionadora
acondroplástico	acondroplástica
acongojado	acongojada
acongojador	acongojadora
aconsejado	aconsejada
aconsejador	aconsejadora
acontecedero	acontecedera
acontecido	acontecida
acontiado	acontiada
